"name",
"Against All Logic",
"Alvvays",
"Amen Dunes",
"Angel Olsen",
"Animal Collective",
"Aphex Twin",
"Arcade Fire",
"Arctic Monkeys",
"BROCKHAMPTON",
"Babasónicos",
"Beach House",
"Blood Orange",
"Boards of Canada",
"Bon Iver",
"Burial",
"CHVRCHES",
"Car Seat Headrest",
"Chance the Rapper",
"Chromatics",
"Clairo",
"Courtney Barnett",
"Crystal Castles",
"Cuco",
"DIIV",
"DJ Shadow",
"Death Cab for Cutie",
"Death Grips",
"Destroyer",
"Disclosure",
"Drake",
"Earl Sweatshirt",
"FKA twigs",
"Fleet Foxes",
"Flying Lotus",
"Foals",
"Frank Ocean",
"Future Islands",
"Grimes",
"Grizzly Bear",
"Grouper",
"Interpol",
"James Blake",
"Jamie xx",
"K.Flay",
"Kali Uchis",
"Kamasi Washington",
"Kanye West",
"Kendrick Lamar",
"Kids See Ghosts",
"King Gizzard & The Lizard Wizard",
"King Krule",
"LCD Soundsystem",
"Lorde",
"Low",
"MGMT",
"Madvillain",
"Massive Attack",
"Metronomy",
"Mitski",
"Ms. Lauryn Hill",
"My Bloody Valentine",
"Nine Inch Nails",
"Niños del Cerro",
"Ought",
"Panda Bear",
"Pink Floyd",
"Porches",
"Priests",
"Pusha T",
"Radiohead",
"Rosalía",
"Sharon Van Etten",
"Slowdive",
"Snail Mail",
"Solange",
"St. Vincent",
"Sufjan Stevens",
"Sun Kil Moon",
"Superorganism",
"Tame Impala",
"The Chemical Brothers",
"The Microphones",
"The National",
"The War on Drugs",
"The xx",
"Thom Yorke",
"Thundercat",
"Tierra Whack",
"Toro y Moi",
"Travi$ Scott",
"Travis",
"Tyler, the Creator",
"U.S. Girls",
"Vince Staples",
"Warpaint",
"Wild Beasts",
"Wild Nothing",
"Yaeji",
"Yves Tumor"
